Hero,Current Issue,Series,Series Title,Year,Label,URL
Nightwing,102,Rebirth,Nightwing v4,2023,DC,https://readallcomics.com/category/nightwing/
Daredevil,1,Devils Dawn,Daredevil v6,2022,Marvel,https://readallcomics.com/category/daredevil/
